t,x,y,z,delta_norm
0.0,1.0,1.0,1.0,9.99999993922529e-09
0.005,1.0031932430458526,1.1298399306861795,0.9920510575139526,9.635223132321937e-09
0.01,1.0125657216485096,1.259920045712098,0.9848910458651933,9.52795228903442e-09
0.015,1.0278475028243745,1.3910499074878417,0.9785606902734546,9.65109898427479e-09
0.02,1.0488214510629146,1.5240008662533797,0.9731143440997997,9.970953032064987e-09
0.025,1.075316398303016,1.6595165117831259,0.9686199394753542,1.0452816020791349e-08
0.03,1.1072061030315223,1.7983149106325553,0.9651591140681236,1.106563765486653e-08
0.035,1.1444053052852021,1.941095373145672,0.9628278575180585,1.1784362946258201e-08
0.04,1.186865408542841,2.0885457550174915,0.9617374285063051,1.259031599736974e-08
0.045,1.23457472036196,2.241343086569511,0.9620151268390775,1.3470470469791296e-08
0.05,1.287554913621322,2.400160321270433,0.9638061793413586,1.4416408436467441e-08
0.055,1.3458583291232258,2.5656716614653488,0.9672753618269279,1.5423210329757754e-08
0.06,1.4095686691024016,2.73855258441181,0.9726083915905949,1.648853428835617e-08
0.065,1.4787989311108771,2.919484626972968,0.9800148579838338,1.761204261358265e-08
0.07,1.5536890473267995,3.1091608422480617,0.9897312067542728,1.8794807074545926e-08
0.075,1.6344063622541014,3.308286091390113,1.0020228044663926,2.0038885658916996e-08
0.08,1.7211457836485597,3.517577683065079,1.0171866108171255,2.1347179183078042e-08
0.085,1.814127505245805,3.737771556437122,1.0355578543891484,2.2723258866518726e-08
0.09,1.9135967194679149,3.969623506306592,1.057512106768233,2.4171129834471865e-08
0.095,2.019824570632171,4.21390840382465,1.0834694163109542,2.5695076070851186e-08
0.1,2.1331077471851265,4.471421067390012,1.113898973415091,2.729983577577661e-08
0.105,2.2537673333950448,4.742979634218201,1.149330065284334,2.8990461291224213e-08
0.11,2.3821487842514526,5.0294257191752285,1.190353795037879,3.077220656285264e-08
0.115,2.5186226268269514,5.33162205893118,1.2376306741673888,3.265045948699508e-08
0.12,2.663584373777129,5.650451603541269,1.2918944530685226,3.4630835077676665e-08
0.125,2.8174533311897187,5.986815059031295,1.3539717772397308,3.6719193146715164e-08
0.13,2.980672523218855,6.3416301968104385,1.4247862554573656,3.8921654126875396e-08
0.135,3.153708495538089,6.715828289056477,1.5053644021923107,4.1244268157073e-08
0.14,3.3370513517972706,7.110347857091197,1.5968466293359325,4.369343368558537e-08
0.145,3.531212682865139,7.526126287190717,1.7005030514478046,4.627517152618503e-08
0.15,3.7367237455823084,7.964087262762874,1.8177549744787944,4.899587997911527e-08
0.155,3.9541353685335783,8.425140103808006,1.9501756523856917,5.1862247950651005e-08
0.16,4.184015076295091,8.910160776653157,2.099507089565215,5.488051007753506e-08
0.165,4.426946037974245,9.41998446541964,2.2676695655541845,5.8056945691904965e-08
0.17,4.683519155743704,9.955364564864512,2.456793593929575,6.139662151372255e-08
0.17500000000000002,4.954330504654466,10.516958359820944,2.6692311387036853,6.490560819855279e-08
0.18,5.239979229279761,11.105316896975193,2.907559062563221,6.858917983715498e-08
0.185,5.541058643002464,11.720839286944065,3.1746000835143775,7.245269820038949e-08
0.19,5.858148680150591,12.363737359431664,3.4734352275644453,7.649817671052077e-08
0.195,6.19179938899315,13.033960953358672,3.807421918907422,8.072781430385948e-08
0.2,6.5425293066702475,13.731190738522628,4.180195105012847,8.514466801378505e-08
0.20500000000000002,6.910809010438012,14.454768759059384,4.595666084642451,8.974879105932067e-08
0.21,7.297048412806856,15.203640006917315,5.05802977347185,9.453767442105558e-08
0.215,7.701563313424658,15.9762267182559,5.571733295654749,9.950472624988827e-08
0.22,8.124566325709491,16.77039385791344,6.1414683351515285,1.0464659836992083e-07
0.225,8.566145683387004,17.583375410145035,6.77213305538916,1.0995267169501448e-07
0.23,9.02623629905666,18.411660595302635,7.468797953356884,1.1541125406447106e-07
0.23500000000000001,9.50457150877104,19.25085850383956,8.236573524906017,1.2100103472620476e-07
0.24,10.000662622210049,20.09563996832075,9.080555381392726,1.2670585733013912e-07
0.245,10.513768410092444,20.93966184862356,10.005716903857925,1.324998842325468e-07
0.25,11.042849327969334,21.77542996109103,11.016776580732172,1.3835275024915608e-07
0.255,11.586506587190817,22.594236617193058,12.117889576726517,1.4422424574709957e-07
0.26,12.142960552619837,23.386139553008086,13.312536276396038,1.5008026384602535e-07
0.265,12.71001036382493,24.139938642345143,14.603283513410563,1.558750858404909e-07
0.27,13.284980005401177,24.84311467516077,15.991512029558276,1.6155540149660384e-07
0.275,13.864678320067402,25.482085343933242,17.47692343319345,1.6706370147971925e-07
0.28,14.445390294588009,26.0422647639449,19.057426303115214,1.7235075643620584e-07
0.28500000000000003,15.022852278050923,26.50825963255569,20.728793790880765,1.7735121398519873e-07
0.29,15.592231680994928,26.864215250345797,22.48426237595726,1.8200481543955876e-07
0.295,16.148174694166595,27.094402531025523,24.314297651122786,1.8625526851305475e-07
0.3,16.684827686769513,27.183517609893055,26.206482139684613,1.9004613778963498e-07
0.305,17.195881680998518,27.11734647152248,28.14531644145893,1.9332772382237894e-07
0.31,17.67471225932553,26.883590052265692,30.11236956607476,1.9606272203882029e-07
0.315,18.114468242079734,26.47237845284994,32.086433089893944,1.9821450112060685e-07
0.32,18.508199408362852,25.877019413713946,34.043840862334356,1.9976967542847162e-07
0.325,18.849106061958086,25.094753156095575,35.95925094847744,2.0072456596985638e-07
0.33,19.130666419092062,24.127121352410757,37.80617531086778,2.0107636308678394e-07
0.335,19.34685279002291,22.980403592137723,39.55796401720875,2.0085763048913118e-07
0.34,19.492393266010673,21.665721253148746,41.18894812824205,2.0009273869005177e-07
0.34500000000000003,19.562902206780947,20.198944453948386,42.67526221830372,1.988139876662769e-07
0.35000000000000003,19.55509864793873,18.600216235193695,43.99606734832828,1.9707667313590976e-07
0.355,19.466948145014488,16.893350305814135,45.13438749121953,1.9491543459730911e-07
0.36,19.29773179384902,15.104964639512145,46.07779658711923,1.9237833015105224e-07
0.365,19.048120873106868,13.263301040928281,46.81898521136036,1.8950248006664542e-07
0.37,18.72015049881749,11.397262427224879,47.35589330555034,1.8631879565687073e-07
0.375,18.31714834605698,9.535103305356548,47.691610679735106,1.8286137243926084e-07
0.38,17.843630967373628,7.703477721875614,47.83404768531845,1.7914603217625333e-07
0.385,17.305129123323663,5.926486610649522,47.79526199308434,1.751969234450044e-07
0.39,16.708003424138088,4.224972155756317,47.59072325763438,1.7102631783103217e-07
0.395,16.05923293270735,2.616082307725627,47.23839948313779,1.666519574416362e-07
0.4,15.36619204001948,1.1130114910703874,46.75784834703459,1.6208888886649923e-07
