t,theta,theta_dot,E,E_minus_E0,x_tip,y_tip
0.0,0.5,0.0,1.2009150678554432,0.0,0.479425538604203,-0.8775825618903728
0.005,0.49994121150067117,-0.023514979220675008,1.2009150678713203,1.587707743055944e-11,0.4793739460139137,-0.8776107450818098
0.01,0.49976485865451,-0.04702489737849408,1.2009150679202507,6.480749270565411e-11,0.479219169407656,-0.8776952703941364
0.015,0.49947097940577345,-0.07052469296302277,1.200915067915126,5.968270322398439e-11,0.4789612122908011,-0.8778360650605136
0.02,0.499059637019129,-0.09400930514269952,1.20091506784497,-1.0473177880498952e-11,0.4786000805981686,-0.8780330078370782
0.025,0.49853092012716543,-0.11747367471305933,1.200915068154171,2.9872770923589087e-10,0.47813578284254915,-0.8782859290490442
0.03,0.4978849428987737,-0.14091274726201947,1.20091507111678,3.2613367562106532e-09,0.47756833041200547,-0.8785946106068996
0.035,0.4971218443043856,-0.16432145946768967,1.2009150756340161,7.778572896910418e-09,0.4768977371160236,-0.8789587864818328
0.04,0.49624178856279844,-0.187694748388132,1.2009150799543,1.209885680530931e-08,0.476124019811026,-0.8793781426434192
0.045,0.49524496525505585,-0.21102755370332724,1.2009150826243473,1.4768904099682345e-08,0.4752471987753972,-0.8798523171851843
0.05,0.494131589324448,-0.2343148177151747,1.2009150826713453,1.4815902060760777e-08,0.47426729802574097,-0.880380900533038
0.055,0.4929019010765113,-0.2575514853474922,1.2009150797588217,1.190337850509593e-08,0.47318434567386997,-0.8809634356823168
0.06,0.4915561661790284,-0.2807325041460162,1.2009150743131818,6.457738566112425e-09,0.4719983743239713,-0.8815994184636967
0.065,0.49009467566202863,-0.30385282427840166,1.2009150676175442,-2.378990338058884e-10,0.47070942150932865,-0.8822882978382708
0.07,0.4885177459177874,-0.32690739853422207,1.2009150618693463,-5.98609695146024e-09,0.46931753016791633,-0.883029476222106
0.075,0.4868257186808824,-0.3498911828005161,1.2009150602727277,-7.58271556655643e-09,0.46782274913848787,-0.8838223098499536
0.08,0.48501896035430037,-0.37279914378641854,1.2009150668655955,-9.898477593139887e-10,0.4662251331153477,-0.8846661094738377
0.085,0.48309786254074594,-0.3956262324695994,1.200915079354288,1.1498844765256422e-08,0.46452474370320535,-0.8855601405254594
0.09,0.48106284220139484,-0.4183673985844994,1.2009150936952944,2.5839851147679838e-08,0.4627216501797457,-0.8865036234866347
0.095,0.4789143414445132,-0.44101759909328575,1.2009151062705572,3.841511397872921e-08,0.4608159299650384,-0.8874957344632463
0.1,0.4766528275254576,-0.4635717981858518,1.2009151142033054,4.6347862214801694e-08,0.4588076693108906,-0.8885356056914706
0.105,0.4742787928466751,-0.48602496727981703,1.2009151156047975,4.7749354248338705e-08,0.4566969640223715,-0.8896223260759303
0.11,0.471792754957703,-0.5083720850205274,1.2009151097463167,4.189087343675624e-08,0.45448392021033024,-0.8907549417602184
0.115,0.46919525655516925,-0.5306081372810549,1.2009150971506555,2.9295212256030823e-08,0.45216865507367465,-0.8919324567302528
0.12,0.46648686548279206,-0.5527281171621978,1.2009150795973338,1.1741890570959868e-08,0.44975129771011296,-0.8931538334509175
0.125,0.46366817473138006,-0.5747270249924809,1.2009150600357423,-7.819700886813052e-09,0.4472319899540104,-0.8944179935364538
0.13,0.46073980243883245,-0.5965998683281547,1.2009150424004995,-2.545494370842505e-08,0.4446108872399508,-0.8957238184550547
0.135,0.45770239189013867,-0.6183416619531965,1.20091503132329,-3.6532153302459847e-08,0.4418881594905406,-0.8970701502681173
0.14,0.45455661093792255,-0.6399474335351695,1.2009150328592044,-3.4996238795770296e-08,0.43906399150632264,-0.8984557926590133
0.145,0.4513031500757428,-0.6614122327971876,1.2009150524880488,-1.5367394468057682e-08,0.4361385821595383,-0.8998795125748045
0.15,0.447942727556104,-0.6827310786090611,1.200915082055624,1.4200180808998653e-08,0.43311214993989905,-0.9013400388168932
0.155,0.44447608651024373,-0.7038990023603092,1.2009151129660058,4.511056261868873e-08,0.429984931341755,-0.9028360641993796
0.16,0.4409039944002789,-0.7249110543664127,1.2009151382740628,7.041861960210838e-08,0.42675718135169105,-0.9043662466969673
0.165,0.4372272430192058,-0.7457623038688135,1.2009151530430429,8.518759964104561e-08,0.4234291744415603,-0.9059292103866277
0.17,0.43344664849090014,-0.7664478390349148,1.2009151545470051,8.669156192908645e-08,0.4200012055737205,-0.9075235464254475
0.17500000000000002,0.4295630512701171,-0.7869627669580811,1.200915142311891,7.44564476740095e-08,0.4164735912166615,-0.9091478140649611
0.18,0.42557731614249134,-0.8073022136576378,1.2009151179893216,5.013387838204153e-08,0.41284667036917294,-0.9108005417022365
0.185,0.4214903322245367,-0.8274613240788717,1.200915085057614,1.72021707989245e-08,0.4091208055911634,-0.9124802279679476
0.19,0.4173030129636467,-0.8474352620930311,1.2009150483449096,-1.951053363313804e-08,0.40529638403920965,-0.9141853428516241
0.195,0.4130162961380941,-0.867219210497325,1.2009150133697135,-5.44857297057888e-08,0.40137381850488035,-0.9159143288642292
0.2,0.40863114385703114,-0.8868083710149238,1.2009149854946755,-8.236076776135803e-08,0.3973535484538503,-0.9176656022381647
0.20500000000000002,0.4041485425604895,-0.9061979642949594,1.2009149688898773,-9.896556596444839e-08,0.3932360410637936,-0.9194375541647591
0.21,0.3995695027349921,-0.9253832321438524,1.2009149662819933,-1.0157344987327122e-07,0.389021791997034,-0.9212285521798683
0.215,0.3948950524961273,-0.9443594842147734,1.2009149976716442,-7.018379899470517e-08,0.38471132050377527,-0.9230369439389962
0.22,0.3901262497583822,-0.9631219987690507,1.2009150545684224,-1.3287020816932227e-08,0.38030518163827187,-0.9248610537908281
0.225,0.3852641785381615,-0.9816660625929485,1.2009151178023445,4.994690128157231e-08,0.37580396389457493,-0.9266991856698295
0.23,0.3803099450166977,-0.9999870036393601,1.2009151724601828,1.0460473953699534e-07,0.37120828656794774,-0.9285496260207574
0.23500000000000001,0.37526467754005177,-1.018080191027807,1.2009152081864611,1.4033101791710578e-07,0.3665188007220747,-0.9304106452084757
0.24,0.37012952661911286,-1.0359410350444394,1.200915219237569,1.5138212572374243e-07,0.36173619014016983,-0.9322804989609483
0.245,0.36490566492959803,-1.0535649871420354,1.2009152042862055,1.3643076224312267e-07,0.35686117225800373,-0.9341574298450146
0.25,0.3595942873120528,-1.0709475399400026,1.2009151659741253,9.811868206810459e-08,0.35189449907687154,-0.9360396687744797
0.255,0.3541966107718506,-1.088084227224376,1.2009151102118825,4.235643924488386e-08,0.3468369580545308,-0.9379254365499848
0.26,0.34871387447919333,-1.1049706239478199,1.2009150452250799,-2.2630363361031414e-08,0.34168937297215457,-0.9398129454300446
0.265,0.3431473397691108,-1.1216023462296263,1.2009149803474135,-8.75080297113584e-08,0.33645260477535577,-0.9417004007325676
0.27,0.3374982901414611,-1.1379750513557163,1.2009149245615869,-1.4329385633615743e-07,0.3311275523873634,-0.9435860024660995
0.275,0.33176803126093046,-1.1540844377786394,1.2009148847900222,-1.8306542104440382e-07,0.3257151534924519,-0.9454679469899487
0.28,0.3259578909570333,-1.1699262451175738,1.200914863938106,-2.0391733723812422e-07,0.320216385287753,-0.947344428702278
0.28500000000000003,0.3200692192241122,-1.1854962541583252,1.2009148586935472,-2.0916189602537827e-07,0.31463226520161325,-0.9492136417551644
0.29,0.3141033817682276,-1.2007903233036317,1.2009148812964892,-1.8655895406283207e-07,0.30896384543931044,-0.9510737837893304
0.295,0.30806176103353217,-1.2158043828104173,1.2009149574686935,-1.1038674974095386e-07,0.3032122145475226,-0.9529230572030394
0.3,0.30194577501342396,-1.2305343322619693,1.200915055986012,-1.1869431215671966e-08,0.2973785159327885,-0.9547596651836588
0.305,0.2957568600488174,-1.2449761397577728,1.2009151506878912,8.283244801177148e-08,0.2914639320973631,-0.9565818189189798
0.31,0.2894964702274402,-1.2591258453304244,1.200915222813818,1.5495837479839736e-07,0.2854696845540491,-0.95838773948784
0.315,0.28316607738383326,-1.2729795609456342,1.2009152608540916,1.9299864839616987e-07,0.27939703426876455,-0.960175659575798
0.32,0.2767671710993508,-1.2865334705022244,1.2009152601149513,1.9225950809165226e-07,0.2732472820594297,-0.9619438252034962
0.325,0.2703012587021603,-1.2997838298321296,1.2009152220023314,1.5414688814274768e-07,0.26702176895001195,-0.9636904974662801
0.33,0.2637698652672426,-1.312726966700397,1.2009151530292894,8.517384619821655e-08,0.26072187647863587,-0.9654139542835803
0.335,0.2571745336163917,-1.325359280805186,1.2009150635530086,-4.3024346307873884e-09,0.25434902695873324,-0.9671124921564945
0.34,0.25051682431821487,-1.337677243777769,1.2009149662480416,-1.0160740160358728e-07,0.24790468369228036,-0.9687844279319473
0.34500000000000003,0.24379831568813276,-1.3496773991825306,1.2009148743232427,-1.9353220048756725e-07,0.24139035113424784,-0.9704281005717449
0.35000000000000003,0.2370206037883792,-1.3613563625169678,1.2009147994906246,-2.6836481858971695e-07,0.23480757500746458,-0.9720418729247798
0.355,0.23018530242800142,-1.3727108212116903,1.2009147496950556,-3.1816038759124865e-07,0.22815794236718281,-0.9736241335005893
0.36,0.22329404316285967,-1.3837375346304202,1.2009147266145006,-3.412409426140073e-07,0.22144308161471404,-0.9751732982424094
0.365,0.2163484752956277,-1.3944333340699921,1.2009147229411359,-3.4491430733751827e-07,0.21466466245959742,-0.9766878122978228
0.37,0.20935025841884583,-1.4047951487450763,1.200914740754684,-3.271007591454378e-07,0.2078243885357172,-0.9781661533347774
0.375,0.20230105853978803,-1.4148200230317636,1.2009148089838084,-2.588716347950992e-07,0.2009239934094594,-0.979606833822833
0.38,0.19520257769490162,-1.4245050164455035,1.200914899882526,-1.679729171311095e-07,0.19396526936067995,-0.981008396641863
0.385,0.1880565302337555,-1.4338472844413142,1.2009149888327229,-7.902272036730551e-08,0.18695004396967976,-0.9823694218875783
0.39,0.18086464139125263,-1.4428440833134126,1.20091505817371,-9.681733192934416e-09,0.17988017837746295,-0.983688528664888
0.395,0.17362864728763017,-1.4514927701952134,1.2009150969644091,2.910896590435641e-08,0.1727575668922153,-0.9849643765545442
0.4,0.16635029492845937,-1.4597908030593292,1.2009151005108596,3.265541637098579e-08,0.16558413654796744,-0.9861956670578431
0.405,0.15903134220464565,-1.4677357407175713,1.2009150696667066,1.81126336151749e-09,0.15836184661599897,-0.9873811450176526
0.41000000000000003,0.15167355789242856,-1.4753252428209482,1.2009150099147266,-5.7940716668980485e-08,0.15109268806962634,-0.9885196000140284
0.41500000000000004,0.14427872165338174,-1.4825570698596675,1.200914930237853,-1.3761759021235775e-07,0.14377868300310698,-0.9896098677326798
0.42,0.1368486240344131,-1.4894290831631343,1.2009148417884552,-2.2606698801830305e-07,0.13642188400548025,-0.9906508313045497
0.425,0.12938506646776443,-1.495939244899952,1.200914756365013,-3.1149043011602373e-07,0.12902437349025395,-0.9916414226147713
0.43,0.12188986127101183,-1.502085618077922,1.2009146847055123,-3.831499308937225e-07,0.12158826298193506,-0.9925806235792818
0.435,0.11436483164706555,-1.507866366544044,1.2009146346072141,-4.3324822907031546e-07,0.11411569236048932,-0.9934674673873756
0.44,0.10681181168416995,-1.5132797549845154,1.2009146088825817,-4.589728614945443e-07,0.10660882906490295,-0.9943010397085031
0.445,0.09923264630277914,-1.5183241489810946,1.2009146031953255,-4.6466011771606475e-07,0.0990698672042441,-0.9950804798668967
0.45,0.09162918001453432,-1.5229980277517392,1.2009146130535655,-4.5480187771396174e-07,0.09150101548923661,-0.9958049829983974
0.455,0.08400326886084618,-1.5272999757495975,1.2009146328140312,-4.350414120057877e-07,0.0839045081797772,-0.9964737997093098
0.46,0.07635678173700286,-1.5312286826349535,1.200914653857371,-4.139980722683845e-07,0.07628260546698168,-0.9970862370443034
0.465,0.06869159103109021,-1.5347829530491581,1.2009146698710955,-3.9798434769977575e-07,0.06863758316549874,-0.997641660205306
0.47000000000000003,0.06100957262399179,-1.5379617066146307,1.200914676971587,-3.9088385617169763e-07,0.06097173168786574,-0.9981394932247611
0.47500000000000003,0.053312605889388735,-1.5407639779348588,1.2009146736696994,-3.941857438238827e-07,0.053287354995062194,-0.9985792195903288
0.48,0.045602573693760036,-1.543188916594397,1.2009146606838483,-4.071715948850141e-07,0.04558676952519387,-0.9989603828201882
0.485,0.03788136239638207,-1.5452357871588696,1.2009146406044975,-4.272509457337037e-07,0.03787230310228181,-0.9992825869881496
0.49,0.030150861849329164,-1.5469039691749666,1.200914617413781,-4.5044166219199155e-07,0.03014629382717381,-0.9995454971978442
0.495,0.02241296539747316,-1.548192957170448,1.200914595864025,-4.719914181716689e-07,0.022411088952629186,-0.9997488400053072
0.5,0.014669569878483724,-1.5491023606541405,1.2009145807187263,-4.871367169645424e-07,0.01466904374466599,-0.9998924037893363
0.505,0.006922575550168755,-1.549631904098619,1.2009145758277286,-4.920277145714635e-07,0.006922520259630037,-0.9999760390695644
0.51,-0.0008261227446601169,-1.5497814244322736,1.2009145793159344,-4.885395088471967e-07,-0.0008261226506915783,-0.9999996587606248
0.515,-0.008574623305657777,-1.5495508738471806,1.2009145891391741,-4.787162690700342e-07,-0.008574518232374496,-0.9999632381428243
0.52,-0.01632101983347628,-1.5489403215984772,1.2009146036854115,-4.6417003174425986e-07,-0.016320295255977904,-0.9998668151122717
0.525,-0.02406340948034183,-1.5479499525166827,1.2009146195484097,-4.483070334959649e-07,-0.024061087237355342,-0.9997104901324965
0.53,-0.03179989285005474,-1.5465800670077,1.2009146326359268,-4.3521951642588874e-07,-0.0317945336032113,-0.9994944260139494
0.535,-0.03952857399798946,-1.5448310810528147,1.200914639146301,-4.2870914218617884e-07,-0.039518280848926085,-0.9992188476398678
0.54,-0.04724756043109457,-1.542703526208696,1.200914636410219,-4.3144522421378895e-07,-0.047229983686482645,-0.9988840416389555
0.545,-0.05495496310789279,-1.5401980496073955,1.2009146235943406,-4.4426110257234086e-07,-0.05492730618035455,-0.9984903560053896
0.55,-0.0626488964384809,-1.5373154139563476,1.2009146022633093,-4.65592133958026e-07,-0.06260792286924287,-0.9980381996667257
0.555,-0.07032747828452994,-1.5340564975383701,1.2009145767965825,-4.91058860685456e-07,-0.0702695198715816,-0.9975280420003326
0.56,-0.0779888299592849,-1.530422294211664,1.2009145546564144,-5.131990288287369e-07,-0.07790979597276536,-0.9969604122990451
0.5650000000000001,-0.0856310763302713,-1.5264139131885583,1.2009145462516846,-5.216037586297517e-07,-0.08552646379442204,-0.9963358991779938
0.5700000000000001,-0.09325235355462169,-1.5220325604395437,1.2009145437023723,-5.241530709465536e-07,-0.09311725854047052,-0.9956551492167894
