model,model_title,method,rtol,atol,ref_method,ref_rtol,ref_atol,T,fps,runtime_s,runtime_ref_s,e_max,e_rms
pendulum,Pendulum,RK45,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.005262599999696249,0.06482939999841619,0.3474117843327629,0.14941215812703526
pendulum,Pendulum,RK45,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.013655999999173218,0.06482939999841619,0.0014174307172024182,0.0005860672165854423
pendulum,Pendulum,RK45,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.034038500001770444,0.06482939999841619,9.051310188747718e-06,3.672513216811352e-06
pendulum,Pendulum,RK45,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.06984830000146758,0.06482939999841619,7.971124144536122e-08,3.2776048968938085e-08
pendulum,Pendulum,DOP853,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.006751600001734914,0.06482939999841619,0.05883007525807185,0.012280998314245678
pendulum,Pendulum,DOP853,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.010024900002463255,0.06482939999841619,0.0006003738676666241,0.00019740352774022223
pendulum,Pendulum,DOP853,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.01484119999804534,0.06482939999841619,8.6720147470487e-06,1.8211671024989034e-06
pendulum,Pendulum,DOP853,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.022851099998661084,0.06482939999841619,3.332552976537618e-08,1.0315547480473054e-08
pendulum,Pendulum,Radau,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.0236070999999356,0.06482939999841619,0.010986297879243429,0.004341888663921686
pendulum,Pendulum,Radau,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.047568099998898106,0.06482939999841619,6.306471700808697e-05,2.119701662522149e-05
pendulum,Pendulum,Radau,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.14481270000032964,0.06482939999841619,3.7788937240754853e-07,1.3689075958461018e-07
pendulum,Pendulum,Radau,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.3983797000000777,0.06482939999841619,3.568056197231823e-09,1.26566705696489e-09
vdp,Van der Pol,RK45,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.0037878000002820045,0.045105399996828055,0.30886008098060086,0.11409723311624757
vdp,Van der Pol,RK45,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.007740900000499096,0.045105399996828055,0.0014234313114733046,0.0003872622678353914
vdp,Van der Pol,RK45,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.016685900001903065,0.045105399996828055,4.4502945666664095e-06,1.3678487462129835e-06
