t,i,omega
0.0,0.0,0.0
0.002,0.023952032001272,0.0002396641768063
0.004,0.0478082560235382,0.0009573148288483
0.006,0.0715688641241496,0.0021509423207373
0.008,0.0952340483930443,0.0038185412599823
0.01,0.11880400095191,0.0059581104969957
0.012,0.1422789137682457,0.0085676531924925
0.014,0.1656589777958114,0.0116451771547934
0.016,0.1889443853336845,0.0151886939930331
0.018,0.2121353289659374,0.0191962194518055
0.02,0.2352320012623876,0.0236657735154349
0.022,0.2582345947785979,0.028595380407977
0.024,0.2811433020558764,0.0339830685932181
0.026,0.3039583156212767,0.0398268707746752
0.028,0.3266798279875971,0.0461248238955964
0.03,0.3493080316533816,0.0528749691389606
0.032,0.3718431191029197,0.0600753519274776
0.034,0.3942852828062455,0.067724021923588
0.036,0.4166347152191388,0.0758190330294632
0.038,0.4388916087831248,0.0843584433870055
0.04,0.4610561559254735,0.0933403153778482
0.042,0.4831285490592007,0.1027627156233553
0.044,0.5051089805830671,0.1126237149846216
0.046,0.5269976428815789,0.1229213885624731
0.048,0.5487947283249872,0.1336538156974662
0.05,0.5705004292692892,0.1448190799698885
0.052,0.5921149380562261,0.1564152691997584
0.054,0.6136384470132854,0.1684404754468249
0.056,0.6350711484536997,0.1808927950105682
0.058,0.6564132346764464,0.1937703284301993
0.06,0.6776648979662487,0.2070711804846599
0.062,0.6988263305935751,0.2207934601926226
0.064,0.7198977248146388,0.2349352808124911
0.066,0.7408792728713989,0.2494947598423995
0.068,0.7617711669915588,0.2644700190202132
0.07,0.7825735993885687,0.2798591843235282
0.072,0.8032867622616229,0.2956603859696715
0.074,0.8239108477956609,0.3118717584157008
0.076,0.8444460481613687,0.3284914403584049
0.078,0.8648925555151759,0.3455175747343034
0.08,0.885250561999259,0.3629483087196464
0.082,0.9055202597415384,0.3807817937304155
0.084,0.9257018408556807,0.3990161854223225
0.086,0.9457954974410973,0.4176496436908105
0.088,0.9658014208662828,0.4366803322600622
0.09,0.9857198000479004,0.4561064175190834
0.092,1.0055508272286156,0.4759260717473755
0.094,1.0252946950365276,0.4961374716456904
0.096,1.0449515960115885,0.516738798078133
