t,theta,theta_dot
0.0,0.1,0.0
0.005,0.099987758176252,-0.0048966299326229
0.01,0.0999510356930794,-0.0097920650237582
0.015,0.0998898415592056,-0.0146851123165881
0.02,0.099804190704225,-0.0195745768295965
0.025,0.0996941039861834,-0.0244592638280086
0.03,0.0995596082290443,-0.0293379806983535
0.035,0.0994007362226887,-0.0342095369484634
0.04,0.0992175267229156,-0.039072744207474
0.045,0.0990100244514413,-0.0439264162258248
0.05,0.0987782800958999,-0.0487693688752583
0.055,0.0985223503098433,-0.0536004201488209
0.06,0.0982422975603205,-0.0584183928466644
0.065,0.0979381901263919,-0.0632221114109613
0.07,0.0976101022977015,-0.0680103994290074
0.075,0.0972581141546136,-0.0727820855918548
0.08,0.0968823115662691,-0.0775360037379706
0.085,0.0964827861905854,-0.0822709928532365
0.09,0.0960596354742567,-0.0869858970709492
0.095,0.0956129626527534,-0.0916795656718201
0.1,0.0951428767503227,-0.0963508530839754
0.105,0.0946494925799883,-0.100998618882956
0.11,0.0941329307435506,-0.1056217277917178
0.115,0.0935933176220246,-0.1102190497537014
0.12,0.0930307845471807,-0.1147894653048866
0.125,0.0924454688206432,-0.1193318557582972
0.13,0.0918375137011253,-0.1238451058717087
0.135,0.0912070678115881,-0.1283281089934092
0.14,0.0905542851392398,-0.1327797670621995
0.145,0.0898793250355361,-0.137198990607393
0.15,0.0891823522161802,-0.1415846987488158
0.155,0.088463536761123,-0.1459358191968065
0.16,0.0877230541145625,-0.1502512882522164
0.165,0.0869610850849444,-0.1545300508064095
0.17,0.0861778158449618,-0.1587710603412623
0.175,0.0853734379315554,-0.162973278929164
0.18,0.0845481482459132,-0.1671356772330164
0.185,0.0837021482389683,-0.1712572377799383
0.19,0.0828356436667023,-0.1753369537577816
0.195,0.0819488470977133,-0.1793738194958205
0.2,0.0810419758332498,-0.1833668410170219
0.205,0.080115251820337,-0.1873150364312916
0.21,0.0791689016517763,-0.1912174359354743
0.215,0.0782031565661456,-0.1950730818133534
0.22,0.0772182524477994,-0.1988810284356514
0.225,0.0762144298268686,-0.2026403422600293
0.23,0.0751919338792605,-0.2063501018310873
0.235,0.074151014426659,-0.2100093977803644
0.24,0.0730919259365243,-0.2136173328263382
0.245,0.0720149275220933,-0.2171730217744254
0.25,0.0709202829423791,-0.2206755915169815
0.255,0.0698082604757146,-0.224124181364844
0.26,0.0686791302216674,-0.2275179490681317
0.265,0.0675331687183958,-0.2308560572821677
0.27,0.0663706575884395,-0.2341376796659109
0.275,0.0651918820751987,-0.2373620051480138
0.28,0.063997131042934,-0.2405282379268223
0.285,0.062786696976766,-0.243635597470376
0.29,0.061560875982676,-0.2466833185164075
0.295,0.0603199677875054,-0.2496706510723435
0.3,0.0590642757389559,-0.2525968604153036
0.305,0.0577941068055896,-0.2554612270921013
0.31,0.0565097715768289,-0.2582630469192432
0.315,0.0552115842629565,-0.2610016309829297
0.32,0.0538998626951154,-0.2636763056390545
0.325,0.0525749283253089,-0.2662864125132048
0.33,0.0512371062264008,-0.2688313085006614
0.335,0.0498867229802411,-0.2713103684161144
0.34,0.0485241077464869,-0.2737229814035645
0.345,0.0471495961357512,-0.2760685472624066
0.35,0.0457635261518491,-0.2783464834135516
0.355,0.0443662381346286,-0.2805562249846136
0.36,0.0429580747599717,-0.2826972248099096
0.365,0.0415393810397934,-0.2847689534304606
0.37,0.0401105043220427,-0.2867708990939904
0.375,0.0386717942907018,-0.2887025677549263
0.38,0.0372236029657863,-0.2905634830743989
0.385,0.0357662847033455,-0.292353186420242
0.39,0.0343001961954621,-0.2940712368669929
0.395,0.0328256964702522,-0.295717211195892
0.4,0.0313431468918657,-0.2972907038948833
0.405,0.0298529111604855,-0.2987913271586137
0.41,0.028355355174041,-0.300218710934052
0.415,0.0268508436727917,-0.301572503101111
0.42,0.0253397459906969,-0.3028523664133692
0.425,0.0238224343503734,-0.3040579815771263
0.43,0.0222992818994041,-0.3051890483245529
0.435,0.0207706627103381,-0.3062452854136916
0.44,0.0192369517806905,-0.3072264306284562
0.445,0.0176985250329428,-0.3081322407786319
0.45,0.0161557593145426,-0.3089624916998754
0.455,0.0146090323979035,-0.3097169782537147
0.46,0.0130587229804054,-0.3103955143275496
0.465,0.0115052106843945,-0.310997932834651
0.47,0.0099488760571829,-0.3115240857141614
0.475,0.0083901005710491,-0.3119738439310947
0.48,0.0068292666232375,-0.3123470974763361
0.485,0.0052667574267562,-0.3126437552919364
0.49,0.0037029545702758,-0.3128637427809412
0.495,0.0021382422208144,-0.3130070038185354
0.5,0.0005730055590497,-0.3130735020629346
0.505,-0.0009923706664017,-0.3130632203477461
0.51,-0.0025575021389845,-0.3129761606819684
0.515,-0.0041220049742038,-0.3128123442499912
0.52,-0.0056854957196263,-0.3125718114115956
0.525,-0.0072475913548794,-0.312254621701954
0.53,-0.0088079092916515,-0.31186085383163
0.535,-0.0103660673736921,-0.3113906056865785
0.54,-0.0119216838768117,-0.3108439943281458
0.545,-0.0134743775088819,-0.3102211559930695
0.55,-0.0150237674098351,-0.3095222460934784
0.555,-0.0165694738410057,-0.3087474381354833
0.56,-0.0181111184693538,-0.3078969220129086
0.5650000000000001,-0.0196483219843419,-0.3069709084063131
0.5700000000000001,-0.0211807065766497,-0.3059696265985617
0.5750000000000001,-0.0227078960756522,-0.3048933243049929
0.58,-0.0242295159494194,-0.3037422676734184
0.585,-0.025745193304717,-0.3025167412841232
0.59,-0.0272545568870055,-0.301217048149866
0.595,-0.028757237080441,-0.2998435097158784
0.6,-0.0302528659078744,-0.2983964658598657
0.605,-0.0317410770308524,-0.2968762748920065
0.61,-0.0332215057496166,-0.2952833135549526
0.615,-0.0346937893053157,-0.2936179765841507
0.62,-0.0361575685024854,-0.2918806735765616
0.625,-0.0376124833582291,-0.2900718347525257
0.63,-0.039058175926301,-0.2881919082351675
0.635,-0.040494291067904,-0.2862413590723865
0.64,-0.0419204764516889,-0.2842206692368575
0.645,-0.0433363825537554,-0.2821303376260299
0.65,-0.0447416626576513,-0.2799708800621284
0.655,-0.0461359728543726,-0.2777428292921525
0.66,-0.0475189720423641,-0.2754467349878768
0.665,-0.0488903219275186,-0.2730831637458509
0.67,-0.0502496870231774,-0.2706526990873995
0.675,-0.0515967346501303,-0.2681559414586221
0.68,-0.0529311349366154,-0.2655935082303935
