t,theta1_A,theta1_dot_A,theta2_A,theta2_dot_A,theta1_B,theta1_dot_B,theta2_B,theta2_dot_B,diff_norm,E,E_minus_E0
0.0,0.7,0.0,0.7,0.0,0.701,0.0,0.7,0.0,0.0010000000000000009,4.613796285478336,0.0
0.0025,0.699974608346078,-0.020313087771801294,0.700008463480985,0.006770393982062585,0.7009745480990652,-0.02036128514221269,0.7000085538324087,0.006842674781288353,0.0010037066395210937,4.613796285487243,8.907541371172556e-12
0.005,0.6998984369753264,-0.04062331738296,0.7000338479295846,0.01353602366424572,0.7008981959908134,-0.040719709056616815,0.7000342093302859,0.013680580758901578,0.0010147444643966704,4.6137962855684425,9.01065888569974e-11
0.0075,0.6997714965728038,-0.06092783046622306,0.7000761355551903,0.020292124918874756,0.7007709543717869,-0.061072410312978526,0.7000769486861493,0.020508949301739268,0.0010328759355423991,4.613796285652026,1.736903953997171e-10
0.01,0.6995938049891625,-0.08122376470094468,0.7001352966070509,0.027033923514568674,0.7005928411122242,-0.08141652345477866,0.7001367421201429,0.027323001506371705,0.0010577321434157264,4.613796285676118,1.97782235034083e-10
0.0125,0.6993653872592404,-0.10150825327507089,0.7002112893325408,0.03375663354280154,0.7003638812744668,-0.10174917845187822,0.7002135478387118,0.03411794660735562,0.0010888468536622879,4.613796285615913,1.3757706085471e-10
0.015,0.6990862756020609,-0.12177842488513956,0.7003040599771614,0.04045545741790257,0.7000841071129603,-0.12206750070051836,0.7003073120346024,0.04088898197723421,0.0011256938618478649,4.613796285489681,1.13447029548297e-11
0.0175,0.6987565094208333,-0.1420314037362804,0.7004135427845398,0.047125585877056064,0.6997535580742544,-0.14236861102332038,0.7004179688868619,0.04763129312653711,0.0011677217923294642,4.613796285385335,-9.300116232680011e-11
0.02,0.6983761353650155,-0.16226430716460993,0.7005396598371451,0.05376219146836834,0.6993722808636362,-0.1626496230967476,0.7005454403902942,0.05434004668847427,0.0012143822677311267,4.613796285551234,7.289813197530748e-11
0.0225,0.6979452072238461,-0.18247424246512323,0.7006823212994124,0.06036042193474829,0.6989403293260156,-0.1829076405392029,0.7006896366299165,0.061010384567729656,0.001265150910830232,4.613796285991347,5.130109670403726e-10
0.025,0.6974637859089007,-0.2026583084401722,0.700841425469868,0.06691540465465248,0.6984577644431572,-0.20313975826101027,0.7008504557965537,0.06763742772730238,0.0013195401171569674,4.613796286426363,9.480274343331985e-10
0.0275,0.6969319396937677,-0.2228135913572937,0.7010168581891557,0.07342223432243977,0.6979246545710053,-0.22334305836214266,0.7010277836015295,0.07421626380352422,0.0013771057759589189,4.6137962866732405,1.1949046196946256e-09
0.03,0.6963497442175417,-0.2429371648697199,0.7012084928313097,0.07987597271661973,0.6973410754423026,-0.24351461007171682,0.7012214932701338,0.08074194693083912,0.0014374494459276736,4.613796286634824,1.156488238507336e-09
0.0325,0.695717282484824,-0.2630260900163781,0.7014161903037546,0.08627164869985249,0.6967071101665914,-0.26365146974799325,0.7014314455416231,0.08720949774180321,0.0015002173829409835,4.613796286295553,8.172174048581837e-10
0.035,0.695034644865722,-0.28307741522189084,0.7016397990473052,0.09260425821894884,0.6960228492302123,-0.2837506808783764,0.7016574886692204,0.0936139033670848,0.0015650976832385427,4.613796285726192,2.4785595797993665e-10
0.0375,0.6943019290958491,-0.30308817629657575,0.7018791550361673,0.09886876430487022,0.6952883904963052,-0.30380927407941427,0.7018994584201151,0.09995011743546434,0.0016318164502939277,4.613796285095218,-3.831175376944884e-10
0.04,0.6935192402763255,-0.3230553964364459,0.7021340817779363,0.10506009707272873,0.694503839204809,-0.3238242670967988,0.7021571780754634,0.10621306007383448,0.0017001336015738692,4.613796284684245,-7.940910151660319e-10
0.0425,0.6926866909890265,-0.3429760845842045,0.7024043899831353,0.11117314840403332,0.6936693080966281,-0.3437926629995842,0.7024304580764115,0.1123976121310668,0.0017698383126498421,4.6137962849968215,-4.815143839209668e-10
0.045,0.6918044013614505,-0.36284722742975634,0.702689877374139,0.11720275323026504,0.6927849174678605,-0.3637114421043651,0.7027190958642356,0.11849859646092833,0.0018407450223640667,4.613796286049923,5.715872219980156e-10
0.0475,0.6908724988546905,-0.38266579344570284,0.702990329343132,0.12314370266101939,0.6918507949608823,-0.38357756633272116,0.7030228765257278,0.12451079164448924,0.0019126904288753487,4.613796287129418,1.651081937836807e-09
0.05,0.6898911186564521,-0.40242873429420567,0.703305517859058,0.12899074202533511,0.6908670759664368,-0.40338798036559764,0.7033415716797841,0.13042892945652923,0.0019855298188713086,4.613796287758892,2.280556188338778e-09
0.0525,0.6888604036967699,-0.4221329847634118,0.7036352014231045,0.13473857051132682,0.6898339036379512,-0.4231396115782467,0.7036749394370699,0.136247694525886,0.0020591343037542806,4.613796287719701,2.24136531556951e-09
0.055,0.687780504648007,-0.4417754627674535,0.7039791250687019,0.14038184116618516,0.6887514288915367,-0.44282937004022715,0.7040227244000193,0.14196172433545526,0.0021333884213882086,4.613796287026307,1.54797152873698e-09
0.0575,0.6866515799248554,-0.46135306934644815,0.7043370203615238,0.14591516089617654,0.6876198104059886,-0.46245414851540423,0.7043846576628355,0.1475656092221905,0.002208188078543834,4.613796285881848,4.035118905676427e-10
0.06,0.6854737956843358,-0.4808626886664984,0.7047086053994874,0.15133309046664337,0.6864392146227859,-0.48201082246195004,0.7047604568114905,0.15305389237710326,0.0022834387933433954,4.613796284610549,-8.677867313622301e-10
0.0625,0.6842473258257977,-0.5003011880196924,0.7050935848127531,0.15663014450200394,0.6852098157460919,-0.5014962500323431,0.7051498259237251,0.15842106984526308,0.0023590541978597856,4.613796283563529,-1.9148069796415257e-09
0.065,0.6829723519909195,-0.519665417824103,0.7054916497637244,0.1618007914857525,0.6839317957427533,-0.5209072720733688,0.7055524555690492,0.1636615905257973,0.002434954764003895,4.61379628299452,-2.483815819687152e-09
0.0675,0.6816490635761437,-0.5389522122946061,0.705902477899419,0.16683945501235659,0.6826053443556527,-0.5402407128057636,0.705968022758709,0.16876985743770453,0.0025110667352501565,4.613796283024317,-2.454019210063052e-09
0.07,0.6802776580886489,-0.5581583962724493,0.7063257321916385,0.17174052456581787,0.6812306594759493,-0.5594933866406607,0.706396189745828,0.17374023839968022,0.0025873211265122135,4.613796285179637,-2.986988434372506e-10
0.0725,0.6788583410934435,-0.577280759378935,0.7067610615697757,0.17649830420169701,0.6798079470703426,-0.5786620720850637,0.7068366047094129,0.17856701427926458,0.0026636524650282744,4.613796288206687,2.7283508785558297e-09
0.075,0.6773913262031026,-0.5963160747752466,0.7072081007068524,0.18110705133848465,0.6783374211797575,-0.5977435307150253,0.7072889015168591,0.18324441819876053,0.002739998545832516,4.613796290422875,4.9445390004621e-09
0.0775,0.675876835151987,-0.6152611068661744,0.7076664696799493,0.18556099178407445,0.6768193040002402,-0.6167345149180794,0.7077526993680081,0.1877666506181277,0.002816299925200764,4.613796290940283,5.461947338858408e-09
0.08,0.6743150977962423,-0.6341126113001159,0.7081357739702066,0.18985431973576325,0.6752538258829578,-0.6356317678932416,0.7082276027951485,0.19212787933498263,0.002892499431204555,4.613796289599772,4.121436525394984e-09
0.0825,0.6727063521137995,-0.6528673349690756,0.7086156044628228,0.19398119778025086,0.6736412253341991,-0.6544320236510089,0.7087132016630152,0.19632223948459865,0.0029685417437812505,4.613796286843548,1.3652119434937049e-09
0.085,0.6710508442043743,-0.671522016008665,0.7091055374470561,0.19793575689364026,0.6719817490153738,-0.6731320070133601,0.7092090711687895,0.2003438335399059,0.003044373033674885,4.613796283523548,-1.954787443025907e-09
0.08750000000000001,0.669348828289468,-0.6900733837981029,0.7096051346162231,0.2017120964414375,0.6702756517430127,-0.691728433613755,0.7097147718420996,0.20418673131149143,0.0031199406513130147,4.613796280643447,-4.8348889336580214e-09
0.09,0.6676005667123667,-0.708518158960215,0.7101139430676997,0.20530428417855173,0.6685231964887683,-0.7102180098971351,0.7102298495450202,0.20784496994759902,0.003195192858119143,4.613796279032347,-6.4459886317536075e-09
0.0925,0.6658063299381419,-0.7268530533614344,0.7106314953029208,0.20870635624929518,0.6667246543794139,-0.7285974331199239,0.7107538354720725,0.21131255393412937,0.0032700785939620033,4.613796278948754,-6.529582208258944e-09
0.095,0.6639663965536501,-0.7450747701118007,0.7111573092273801,0.21191231718738313,0.664880304696844,-0.7468633913500257,0.7112862461502243,0.21458345509463997,0.0033445472754444123,4.613796279613715,-5.864620788997854e-09
0.0975,0.6620810530871332,-0.7631800215684136,0.711690888277152,0.21491617876994065,0.6629904347075182,-0.7650125809352673,0.7118265835533103,0.21765165027541883,0.0034185474005477686,4.613796281810281,-3.6680551929180183e-09
0.1,0.6601505946581073,-0.781165525682082,0.7122317198102491,0.21771195050962264,0.6610553402857918,-0.7830417052320647,0.7123743335186115,0.2205111169821353,0.0034920317818197977,4.613796288084398,2.606062032839418e-09
0.10250000000000001,0.6581753254630461,-0.7990279616319401,0.7127792747346402,0.22029354406064017,0.6590753264469398,-0.8009474268230946,0.712928965307631,0.2231557303821209,0.0035649496767243298,4.613796294326879,8.848543231465555e-09
0.105,0.6561555577488304,-0.816764024393021,0.7133330091555947,0.22265489239861086,0.6570507063032162,-0.8187264236352196,0.7134899332785334,0.22557938583471548,0.0036372501643934106,4.61379629784078,1.236244440150358e-08
0.1075,0.6540916117849696,-0.8343704265651078,0.7138923644132473,0.22478995379427408,0.6549818010311818,-0.8363753911303687,0.7140566769299498,0.2277760036497356,0.0037088828701470934,4.613796297496161,1.2017824957410994e-08
